item_id,prompt_A,prompt_B,q1_single_atom,q2_semantic_change,q3_coherent,q4_which_atom,q5_notes
E0000,a turtle far from a key,a turtle on side of a key,,,,,
E0001,a rectangular desk and a spherical paperweight,a oval desk and a spherical paperweight,,,,,
E0002,a wooden picture frame and leather gloves,a glass picture frame and leather gloves,,,,,
E0003,a chicken behind a suitcase,a chicken in front of a suitcase,,,,,
E0004,a girl behind a candle,a girl in front of a candle,,,,,
E0005,a table behind a wallet,a table in front of a wallet,,,,,
E0006,a teardrop engagement ring and a round pearl necklace,a diamond engagement ring and a round pearl necklace,,,,,
E0007,a refrigerator behind a bee,a refrigerator in front of a bee,,,,,
E0008,a brown book and a red horse,a orange book and a red horse,,,,,
E0009,three toys,four toys,,,,,
E0010,one balloon and two desks,three balloon and two desks,,,,,
E0011,The pyramidal sculpture with its spherical accents and rectangular base added interest to the square foyer.,The diamond sculpture with its spherical accents and rectangular base added interest to the square foyer.,,,,,
E0012,three breads and two strawberries,two breads and two strawberries,,,,,
E0013,a suitcase in front of a chair,a suitcase behind a chair,,,,,
E0014,a fish on the bottom of a candle,a fish on the top of a candle,,,,,
E0015,A person is looking at their reflection in a pond.,A person is looking away from their reflection in a pond.,,,,,
E0016,The square coaster was under the circular tablecloth.,The square coaster was on top of the circular tablecloth.,,,,,
E0017,a spherical soccer ball and a conical party horn,a cubic soccer ball and a conical party horn,,,,,
E0018,a square plate and a rectangular napkin,a round plate and a rectangular napkin,,,,,
E0019,"A wood framed mirror hangs over a white, square sink unit with silver fittings.","A wood framed mirror hangs over a red, square sink unit with silver fittings.",,,,,
E0020,"four bags, two kites and two hamburgers","three bags, two kites and two hamburgers",,,,,
E0021,one banana and four paintings,two banana and four paintings,,,,,
E0022,one bowls,eight bowls,,,,,
E0023,a diamond gemstone and a round jewelry box,a teardrop gemstone and a round jewelry box,,,,,
E0024,A person is dropping a pen and writing in a journal.,A person is holding a pen and writing in a journal.,,,,,
E0025,"three books, two printers and one bread","four books, two printers and one bread",,,,,
E0026,a tall elephant and a small snail,a big elephant and a small snail,,,,,
E0027,a orange cow and a pink sheep,a brown cow and a pink sheep,,,,,
E0028,three refrigerator and two women,one refrigerator and two women,,,,,
E0029,The rectangular table with its oval top and oblong legs hosted meals in the diamond dining area.,The pentagonal table with its oval top and oblong legs hosted meals in the diamond dining area.,,,,,
E0030,a car on the left of a bee,a car on the right of a bee,,,,,
E0031,"four breads, one plate and four birds","five breads, one plate and four birds",,,,,
E0032,a fabric chair and a wooden jewelry box,a plastic chair and a wooden jewelry box,,,,,
E0033,a chair hidden by a suitcase,a chair in front of a suitcase,,,,,
E0034,a turtle on the left of a wallet,a turtle on the right of a wallet,,,,,
E0035,The oblong keyboard with its diamond keys and rectangular body enabled typing in the square office.,The angular keyboard with its diamond keys and rectangular body enabled typing in the square office.,,,,,
E0036,The wooden cutting board and glass measuring cup make cooking a breeze.,The rubber cutting board and glass measuring cup make cooking a breeze.,,,,,
E0037,A person is sitting on a street corner and asking for directions.,A person is standing on a street corner and asking for directions.,,,,,
E0038,a brown bird and a blue car,a orange bird and a blue car,,,,,
E0039,a sheep on the left of a man,a sheep on the right of a man,,,,,
E0040,five frogs and four microwaves,three frogs and four microwaves,,,,,
E0041,The prickly green thorns of the rose contrasted with the soft pink petals.,The prickly purple thorns of the rose contrasted with the soft pink petals.,,,,,
E0042,a bicycle in front of a giraffe,a bicycle behind a giraffe,,,,,
E0043,fabric sole shoes and a plastic bag,rubber sole shoes and a plastic bag,,,,,
E0044,a horse in front of a book,a horse hidden by a book,,,,,
E0045,A person is holding a basketball and shooting hoops at the court.,A person is dropping a basketball and shooting hoops at the court.,,,,,
E0046,a phone on the left of a fish,a phone on the right of a fish,,,,,
E0047,a pink elephant and a gray flamingo,a grey elephant and a gray flamingo,,,,,
E0048,a refrigerator hidden by a woman,a refrigerator in front of a woman,,,,,
E0049,a butterfly in front of a book,a butterfly behind a book,,,,,
E0050,a key hidden by a rabbit,a key in front of a rabbit,,,,,
E0051,"The fluffy, white clouds drifted lazily across the sky, casting ever-changing shadows on the sun-drenched landscape above.","The fluffy, white clouds drifted lazily across the sky, casting ever-changing shadows on the sun-drenched landscape below.",,,,,
E0052,a metal door knob and fluffy clouds,a metallic door knob and fluffy clouds,,,,,
E0053,four pigs and two keys,five pigs and two keys,,,,,
E0054,a wooden toy and a fabric dress,a glass toy and a fabric dress,,,,,
E0055,A child is playing with a kite and flying it high in the sky.,A child is ignoring a kite and flying it high in the sky.,,,,,
E0056,a brown cat and a blue suitcase,a orange cat and a blue suitcase,,,,,
E0057,a mouse behind a man,a mouse in front of a man,,,,,
E0058,a fabric rug and a glass cup,a fluffy rug and a glass cup,,,,,
E0059,a circular pendant and a triangular earring,a spherical pendant and a triangular earring,,,,,
E0060,a short giraffe and a small dog,a tall giraffe and a small dog,,,,,
E0061,a cat far from a wallet,a cat near a wallet,,,,,
E0062,A man is dropping a microphone and singing on stage.,A man is holding a microphone and singing on stage.,,,,,
E0063,The shiny sports car raced on the winding road and the dusty desert.,The dull sports car raced on the winding road and the dusty desert.,,,,,
E0064,A child is ignoring a frisbee and tossing it back and forth.,A child is playing with a frisbee and tossing it back and forth.,,,,,
E0065,five boats floated on the lake,four boats floated on the lake,,,,,
E0066,a yellow dog and a brown horse,a orange dog and a brown horse,,,,,
E0067,a pentagonal prism and a pyramidal pyramid,a hexagonal prism and a pyramidal pyramid,,,,,
E0068,a plastic cutlery and a wooden chair,a fabric cutlery and a wooden chair,,,,,
E0069,a rubber band and a leather belt,a plastic band and a leather belt,,,,,
E0070,a metal car and a wooden chair,a metallic car and a wooden chair,,,,,
E0071,a plastic band and a wooden table,a rubber band and a wooden table,,,,,
E0072,a metallic car and a wooden door,a metal car and a wooden door,,,,,
E0073,"five lamps, two flags and four bowls","four lamps, two flags and four bowls",,,,,
E0074,The smooth white snow glistened above the bright yellow sun.,The smooth white snow glistened under the bright yellow sun.,,,,,
E0075,a fabric hat and a leather chair,a fluffy hat and a leather chair,,,,,
E0076,two pillows,three pillows,,,,,
E0077,a diamond watch and a round cufflink,a teardrop watch and a round cufflink,,,,,
E0078,a refrigerator on the top of a pig,a refrigerator on the bottom of a pig,,,,,
E0079,a wide snake and a short lizard,a long snake and a short lizard,,,,,
