item_id,prompt,category,col1_best_match,col2_best_match,col3_best_match,col4_best_match,col5_best_match,which_column_best,notes
V0000,a turtle hidden by a bowl,3d_spatial,,,,,,,
V0001,a painting behind a balloon,3d_spatial,,,,,,,
V0002,a dog in front of a refrigerator,3d_spatial,,,,,,,
V0003,a car hidden by a plate,3d_spatial,,,,,,,
V0004,a phone hidden by a man,3d_spatial,,,,,,,
V0005,a green apple and a red train,color,,,,,,,
V0006,A woman in a white shirt and jeans holds a pink umbrella in the rain.,color,,,,,,,
V0007,a brown bear and a blue boat,color,,,,,,,
V0008,a blue cup and a brown horse,color,,,,,,,
V0009,a green backpack and a blue banana,color,,,,,,,
V0010,The red apple was next to the yellow pear.,complex,,,,,,,
V0011,The fluffy pillows cushioned the tired head and the hard couch.,complex,,,,,,,
V0012,The soft blue blanket contrasted with the rough wooden floor.,complex,,,,,,,
V0013,The bright yellow sunflower stood tall next to the soft green grass.,complex,,,,,,,
V0014,The oval mirror is hung above the white sink.,complex,,,,,,,
V0015,seven women,numeracy,,,,,,,
V0016,four apples were picked from the tree,numeracy,,,,,,,
V0017,eight cats lounged in the sun,numeracy,,,,,,,
V0018,one refrigerator,numeracy,,,,,,,
V0019,one drum,numeracy,,,,,,,
V0020,a teardrop pendant and a diamond brooch pin,shape,,,,,,,
V0021,a round bagel and a rectangular bacon strip,shape,,,,,,,
V0022,a big tiger and a small kitten,shape,,,,,,,
V0023,The diamond window and the rectangular door were the only openings in the otherwise blank wall.,shape,,,,,,,
V0024,a round bagel and a rectangular sandwich press,shape,,,,,,,
V0025,a rabbit on the top of a candle,spatial,,,,,,,
V0026,a cat on the left of a lamp,spatial,,,,,,,
V0027,a dog on the bottom of a balloon,spatial,,,,,,,
V0028,a giraffe on the left of a table,spatial,,,,,,,
V0029,a cup on the right of a dog,spatial,,,,,,,
V0030,a plastic plate and a fluffy hat,texture,,,,,,,
V0031,The wooden rolling pin and metallic cookie cutter shape the fluffy dough for the plastic cookies.,texture,,,,,,,
V0032,The wooden birdhouse and fluffy bird perch on the metallic pole by the glass window.,texture,,,,,,,
V0033,a rubber eraser and a wooden picture frame,texture,,,,,,,
V0034,a rubber ball and a plastic phone case,texture,,,,,,,
